Company,Description,Area,Region,Address
Empresa Eléctrica Regional Centro Sur C.A.,"Opciones: Comunicarse con un Agente de Servicio, Consultar Planillas, Requisitos o Trámites, Comunicarse con un Funcionario",Empresas Eléctricas,Cuenca,Av Max Uhle y Pumapungo
Actuaria Cía. Ltda.,"Empresa Creada en el año 1986, Ofrece a sus Clientes Servicios en el Área Actuarial, Estadística, Matemática, Financiera y de Gestión Humana; con el fin de Asesorar a las Empresas con Ventajas Competitivas al Poder Evaluarles.","Actuarios, Asesores Empresariales",Quito,"Av. Orellana E9-195 y Av. 6 de Diciembre, Edif. Alisal de Orellana Of. 804."
Emac Empresa Municipal De Aseo De Cuenca,,Aseo Ambiental,Cuenca,"Av. Solano y 12 de Abril, Edificio San Vicente de Paúl 1er y 4to Piso"
Corporación Nacional de Electricidad CNEL EP Unidad de Negocio El Oro,Corporación Nacional de Electricidad.,Empresas Eléctricas,Machala,Av Arízaga 1810 y Sta Rosa Esq.
CACPEG Cooperativa de Ahorro y Crédito de La Pequeña Empresa Gualaquiza,"Ahorro, Polizas, Servicios Básicos, Transferencias, Giros.",Cooperativas de Ahorro y Crédito,Gualaquiza,12 de Febrero y Cuenca
EMUCE - Empresa Municipal de Cementerios y Exequias de Cuenca,"Servicios Exequiales, Cremación, Espacios de Sepultamiento, Póliza Preniniendo, Apoyo Emocional al Duelo, Salas de Velaciones.",Funerarias,Cuenca,Calle Octavio Díaz y Vicente Rocafuerte Esq.
"Empresa Municipal de Agua Potable, Alcantarillado y Saneamiento",,Instituciones,Gualaceo,Benigno Vásquez y Dávila Chica
Elecaustro,"Empresa generadora de energía con 20 años de servicio a la región y al país generando conservación ambiental, desarrollo, trabajo, conciencia y futuro.",Electricidad - Empresas,Cuenca,Av 12 De Abril 3-7 y J. Peralta Edificio Paseo del Puente 3er Piso
Empresa Pública Agropzaching,,Lácteos Productos,Zumbi,Km 1.5 Vía Zumbi - Yantzaza
Af Control de Plagas,"Profesionales y Efectivos en Combatir Plagas Solucionamos problemas de cucarachas, moscas, hormigas, pulgas etc. Venta de Equipos y Productos.",Fumigadoras Empresas,Cuenca,Calle Imbabura 1-03 y Av 12 de Abril
FUMIGSA S.A.,"Desinfección y Sanitización , Control de :Cucarachas, Hormigas, Garrapatas, Pulgas,  Roedores, Mosquitos, Murciélagos, Termitas y Plagas en general.  Dirigido a : Empresas, Residencias,  Escuelas, Hospitales,  Hoteles, Bodegas,  Oficinas, C.Comerciales. A","Control de Plagas y Fumigaciones, Fumigadoras Empresas",Guayaquil,Av. Fco de Orellana - Cdla. Las Orquideas   PB.(Av. Francisco de Orellana)
Solconplag,"Especializados en termitas subterraneas, residencial, industrias, hoteles, bodegas desinfectación, manejo integrado de plagas.",Fumigaciones Empresas,Guayaquil,Cdla Guayacanes
Seguros del Pichincha,"Somos la Compañia se Seguros de Vida Líder en Ecuador, una Empresa con 25 años de Experiencia Asegurando lo más Importante Tu Vida y la de Tu Familia.","Seguros, Seguros - Agentes y Compañías",Guayaquil,Av Francisco de Orellana Edif. World Trade Center Torre A Piso 10
Zurich Seguros Ecuador S.A.,Con la misma Calidad y Atención de Siempre le Sumamos todo el Respaldo y la Trayectoria de Zurich.,Seguros - Agentes y Compañías,Quito,Av Eloy Alfaro N40-270 y José Queri
ALSECA,"Instalaciones de Alarmas, Cámaras,Motores Porteros,Video Portero,Cercas Eléctricas, Controles de Acceso,Relojes Biométricos,Inst. Eléctricas en General","Control de Personal, Cámaras de Seguridad - CCTV, Electricidad - Empresas, Puertas Automáticas",Cuenca,Av. Isabel La Católica 5-85 y Loja
